avg_quant_gre,c_mech_mean,city,name,state,url
161,3.1,Raleigh,North Carolina State University,NC,https://www.usnews.com/best-graduate-schools/top-engineering-schools/north-carolina-state-university-raleigh-02132
162,3.0,Pittsburgh,University of Pittsburgh (Swanson),PA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-pittsburgh-pittsburgh-campus-02157
162,3.0,Newark,University of Delaware,DE,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-delaware-02038
160,3.0,Storrs,University of Connecticut,CT,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-connecticut-02036
160,3.0,Tucson,University of Arizona,AZ,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-arizona-02007
161,3.0,Buffalo,University at Buffalo--SUNY,NY,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-at-buffalo-02124
162,3.0,East Lansing,Michigan State University,MI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/michigan-state-university-02084
163,3.0,Bethlehem,Lehigh University (Rossin),PA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/lehigh-university-02154
159,3.0,Golden,Colorado School of Mines,CO,https://www.usnews.com/best-graduate-schools/top-engineering-schools/colorado-school-of-mines-02030
160,3.0,Clemson,Clemson University,SC,https://www.usnews.com/best-graduate-schools/top-engineering-schools/clemson-university-02161
164,3.0,Boston,Boston University,MA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/boston-university-02075
163,2.9,Salt Lake City,University of Utah,UT,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-utah-02181
157,2.9,Chicago,University of Illinois--Chicago,IL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-illinois-chicago-02056
165,2.9,Stony Brook,Stony Brook University--SUNY,NY,https://www.usnews.com/best-graduate-schools/top-engineering-schools/stony-brook-university-suny-02125
159,2.9,Philadelphia,Drexel University,PA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/drexel-university-02153
159,2.8,Knoxville,University of Tennessee--Knoxville (Tickle),TN,https://www.usnews.com/best-graduate-schools/top-engineering-schools/the-university-of-tennessee-02167
164,2.8,Amherst,University of Massachusetts--Amherst,MA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-massachusetts-amherst-02082
160,2.8,Iowa City,University of Iowa,IA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-iowa-02061
163,2.8,Medford,Tufts University,MA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/tufts-university-02080
159,2.8,Corvallis,Oregon State University,OR,https://www.usnews.com/best-graduate-schools/top-engineering-schools/oregon-state-university-02150
156,2.8,Rolla,Missouri University of Science & Technology--Rolla,MO,https://www.usnews.com/best-graduate-schools/top-engineering-schools/missouri-university-of-science--technology-02095
157,2.8,Houghton,Michigan Technological University,MI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/michigan-technological-university-02085
164,2.8,Hanover,Dartmouth College (Thayer),NH,https://www.usnews.com/best-graduate-schools/top-engineering-schools/dartmouth-college-02103
161,2.7,Worcester,Worcester Polytechnic Institute,MA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/worcester-polytechnic-institute-02083
158,2.7,Orlando,University of Central Florida,FL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-central-florida-02045
162,2.7,Syracuse,Syracuse University,NY,https://www.usnews.com/best-graduate-schools/top-engineering-schools/syracuse-university-02128
161,2.7,Washington,George Washington University,DC,https://www.usnews.com/best-graduate-schools/top-engineering-schools/george-washington-university-02040
161,2.7,Provo,Brigham Young University,UT,https://www.usnews.com/best-graduate-schools/top-engineering-schools/brigham-young-university-02180
160,2.7,Auburn,Auburn University (Ginn),AL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/auburn-university-main-campus-02001
160,2.6,Pullman,Washington State University,WA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/washington-state-university-02189
162,2.6,Richardson,University of Texas--Dallas (Jonsson),TX,https://www.usnews.com/best-graduate-schools/top-engineering-schools/the-university-of-texas-at-dallas-02208
160,2.6,Cincinnati,University of Cincinnati,OH,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-cincinnati-main-campus-02142
162,2.6,Riverside,University of California--Riverside (Bourns),CA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-california-riverside-02235
164,2.6,Brooklyn,New York University (Tandon),NY,https://www.usnews.com/best-graduate-schools/top-engineering-schools/new-york-university-02120
158,2.6,Fort Collins,Colorado State University (Scott),CO,https://www.usnews.com/best-graduate-schools/top-engineering-schools/colorado-state-university-02031
157,2.5,Arlington,University of Texas--Arlington,TX,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-texas-arlington-02177
159,2.5,Columbia,University of South Carolina,SC,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-south-carolina-columbia-02162
159,2.5,Lincoln,University of Nebraska--Lincoln,NE,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-nebraska-lincoln-02100
158,2.5,Lexington,University of Kentucky,KY,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-kentucky-02065
160,2.5,Houston,University of Houston (Cullen),TX,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-houston-02176
161,2.5,Hoboken,Stevens Institute of Technology (Schaefer),NJ,https://www.usnews.com/best-graduate-schools/top-engineering-schools/stevens-institute-of-technology-02110
159,2.5,Chicago,Illinois Institute of Technology (Armour),IL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/illinois-institute-of-technology-02053
160,2.5,Potsdam,Clarkson University,NY,https://www.usnews.com/best-graduate-schools/top-engineering-schools/clarkson-university-02115
163,2.4,Rochester,University of Rochester (Hajim),NY,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-rochester-02129
159,2.4,Norman,University of Oklahoma,OK,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-oklahoma-norman-campus-02148
157,2.4,Albuquerque,University of New Mexico,NM,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-new-mexico-main-campus-02113
156,2.4,Lowell,University of Massachusetts--Lowell (Francis),MA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-massachusetts-lowell-02081
158,2.4,Lawrence,University of Kansas,KS,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-kansas-02063
159,2.4,Tuscaloosa,University of Alabama,AL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/the-university-of-alabama-02003
159,2.4,Lubbock,Texas Tech University (Whitacre),TX,https://www.usnews.com/best-graduate-schools/top-engineering-schools/texas-tech-university-02175
159,2.4,Stillwater,Oklahoma State University,OK,https://www.usnews.com/best-graduate-schools/top-engineering-schools/oklahoma-state-university-main-campus-02147
158,2.4,Newark,New Jersey Institute of Technology,NJ,https://www.usnews.com/best-graduate-schools/top-engineering-schools/new-jersey-institute-of-technology-02107
156,2.4,Baton Rouge,Louisiana State University--Baton Rouge,LA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/louisiana-state-university-and-agricultural--mechanical-college-02067
158,2.3,Detroit,Wayne State University,MI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/wayne-state-university-02090
